2023-04-14 23:27:08 install sensible-utils:all <none> 0.0.17+nmu1
2023-04-14 23:27:08 status half-installed sensible-utils:all 0.0.17+nmu1
2023-04-14 23:27:08 status unpacked sensible-utils:all 0.0.17+nmu1
2023-04-14 23:27:08 install sysvinit-utils:amd64 <none> 3.06-2ubuntu1
2023-04-14 23:27:08 status half-installed sysvinit-utils:amd64 3.06-2ubuntu1
2023-04-14 23:27:08 status unpacked sysvinit-utils:amd64 3.06-2ubuntu1
2023-04-14 23:27:08 install tar:amd64 <none> 1.34+dfsg-1.2
2023-04-14 23:27:08 status half-installed tar:amd64 1.34+dfsg-1.2
2023-04-14 23:27:08 status unpacked tar:amd64 1.34+dfsg-1.2
2023-04-14 23:27:08 install usrmerge:all <none> 33ubuntu1
2023-04-14 23:27:08 status half-installed usrmerge:all 33ubuntu1
2023-04-14 23:27:08 status unpacked usrmerge:all 33ubuntu1
2023-04-14 23:27:08 install util-linux:amd64 <none> 2.38.1-4ubuntu1
2023-04-14 23:27:08 status half-installed util-linux:amd64 2.38.1-4ubuntu1
2023-04-14 23:27:08 status unpacked util-linux:amd64 2.38.1-4ubuntu1
2023-04-14 23:27:08 install util-linux-extra:amd64 <none> 2.38.1-4ubuntu1
2023-04-14 23:27:08 status half-installed util-linux-extra:amd64 2.38.1-4ubuntu1
2023-04-14 23:27:08 status unpacked util-linux-extra:amd64 2.38.1-4ubuntu1
2023-04-14 23:27:08 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1ubuntu4
2023-04-14 23:27:08 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1ubuntu4
2023-04-14 23:27:08 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1ubuntu4
2023-04-14 23:27:08 startup packages configure
2023-04-14 23:27:08 configure libaudit-common:all 1:3.0.9-1 <none>
2023-04-14 23:27:08 status unpacked libaudit-common:all 1:3.0.9-1
2023-04-14 23:27:08 status half-configured libaudit-common:all 1:3.0.9-1
2023-04-14 23:27:08 status installed libaudit-common:all 1:3.0.9-1
2023-04-14 23:27:08 configure libsemanage-common:all 3.4-1build4 <none>
2023-04-14 23:27:08 status unpacked libsemanage-common:all 3.4-1build4
2023-04-14 23:27:08 status half-configured libsemanage-common:all 3.4-1build4
2023-04-14 23:27:08 status installed libsemanage-common:all 3.4-1build4
2023-04-14 23:27:08 configure debconf:all 1.5.82 <none>
2023-04-14 23:27:08 status unpacked debconf:all 1.5.82
2023-04-14 23:27:08 status half-configured debconf:all 1.5.82
2023-04-14 23:27:09 status installed debconf:all 1.5.82
2023-04-14 23:27:09 configure ncurses-base:all 6.4-2 <none>
2023-04-14 23:27:09 status unpacked ncurses-base:all 6.4-2
2023-04-14 23:27:09 status half-configured ncurses-base:all 6.4-2
2023-04-14 23:27:09 status installed ncurses-base:all 6.4-2
2023-04-14 23:27:09 configure gcc-13-base:amd64 13-20230320-1ubuntu1 <none>
2023-04-14 23:27:09 status unpacked gcc-13-base:amd64 13-20230320-1ubuntu1
2023-04-14 23:27:09 status half-configured gcc-13-base:amd64 13-20230320-1ubuntu1
2023-04-14 23:27:09 status installed gcc-13-base:amd64 13-20230320-1ubuntu1
2023-04-14 23:27:09 configure sensible-utils:all 0.0.17+nmu1 <none>
2023-04-14 23:27:09 status unpacked sensible-utils:all 0.0.17+nmu1
2023-04-14 23:27:09 status half-configured sensible-utils:all 0.0.17+nmu1
2023-04-14 23:27:09 status installed sensible-utils:all 0.0.17+nmu1
2023-04-14 23:27:09 configure libcrypt1:amd64 1:4.4.33-2 <none>
2023-04-14 23:27:09 status unpacked libcrypt1:amd64 1:4.4.33-2
2023-04-14 23:27:09 status half-configured libcrypt1:amd64 1:4.4.33-2
2023-04-14 23:27:09 status installed libcrypt1:amd64 1:4.4.33-2
2023-04-14 23:27:09 configure libgcc-s1:amd64 13-20230320-1ubuntu1 <none>
2023-04-14 23:27:09 status unpacked libgcc-s1:amd64 13-20230320-1ubuntu1
2023-04-14 23:27:09 status half-configured libgcc-s1:amd64 13-20230320-1ubuntu1
2023-04-14 23:27:09 status installed libgcc-s1:amd64 13-20230320-1ubuntu1
2023-04-14 23:27:09 configure libc6:amd64 2.37-0ubuntu2 <none>
2023-04-14 23:27:09 status unpacked libc6:amd64 2.37-0ubuntu2
2023-04-14 23:27:09 status half-configured libc6:amd64 2.37-0ubuntu2
2023-04-14 23:27:09 status installed libc6:amd64 2.37-0ubuntu2
2023-04-14 23:27:09 configure libudev1:amd64 252.5-2ubuntu3 <none>
2023-04-14 23:27:09 status unpacked libudev1:amd64 252.5-2ubuntu3
2023-04-14 23:27:09 status half-configured libudev1:amd64 252.5-2ubuntu3
2023-04-14 23:27:09 status installed libudev1:amd64 252.5-2ubuntu3
2023-04-14 23:27:09 configure libmd0:amd64 1.0.4-2 <none>
2023-04-14 23:27:09 status unpacked libmd0:amd64 1.0.4-2
2023-04-14 23:27:09 status half-configured libmd0:amd64 1.0.4-2
2023-04-14 23:27:09 status installed libmd0:amd64 1.0.4-2
2023-04-14 23:27:09 configure libattr1:amd64 1:2.5.1-4 <none>
2023-04-14 23:27:09 status unpacked libattr1:amd64 1:2.5.1-4
2023-04-14 23:27:09 status half-configured libattr1:amd64 1:2.5.1-4
2023-04-14 23:27:09 status installed libattr1:amd64 1:2.5.1-4
2023-04-14 23:27:09 configure sysvinit-utils:amd64 3.06-2ubuntu1 <none>
2023-04-14 23:27:09 status unpacked sysvinit-utils:amd64 3.06-2ubuntu1
2023-04-14 23:27:09 status half-configured sysvinit-utils:amd64 3.06-2ubuntu1
2023-04-14 23:27:09 status installed sysvinit-utils:amd64 3.06-2ubuntu1
2023-04-14 23:27:09 configure debianutils:amd64 5.7-0.4 <none>
2023-04-14 23:27:09 status unpacked debianutils:amd64 5.7-0.4
2023-04-14 23:27:09 status half-configured debianutils:amd64 5.7-0.4
2023-04-14 23:27:09 status installed debianutils:amd64 5.7-0.4
2023-04-14 23:27:09 configure mawk:amd64 1.3.4.20200120-3.1 <none>
2023-04-14 23:27:09 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-04-14 23:27:09 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-04-14 23:27:09 status installed mawk:amd64 1.3.4.20200120-3.1
2023-04-14 23:27:09 configure libdebconfclient0:amd64 0.267ubuntu1 <none>
2023-04-14 23:27:09 status unpacked libdebconfclient0:amd64 0.267ubuntu1
2023-04-14 23:27:09 status half-configured libdebconfclient0:amd64 0.267ubuntu1
2023-04-14 23:27:09 status installed libdebconfclient0:amd64 0.267ubuntu1
2023-04-14 23:27:09 configure base-files:amd64 12.3ubuntu2 <none>
2023-04-14 23:27:09 status unpacked base-files:amd64 12.3ubuntu2
2023-04-14 23:27:09 status half-configured base-files:amd64 12.3ubuntu2
2023-04-14 23:27:09 status installed base-files:amd64 12.3ubuntu2
2023-04-14 23:27:09 configure libbz2-1.0:amd64 1.0.8-5build1 <none>
2023-04-14 23:27:09 status unpacked libbz2-1.0:amd64 1.0.8-5build1
2023-04-14 23:27:09 status half-configured libbz2-1.0:amd64 1.0.8-5build1
2023-04-14 23:27:09 status installed libbz2-1.0:amd64 1.0.8-5build1
2023-04-14 23:27:09 configure libdb5.3:amd64 5.3.28+dfsg2-1 <none>
2023-04-14 23:27:09 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2023-04-14 23:27:09 status half-configured libdb5.3:amd64 5.3.28+dfsg2-1
2023-04-14 23:27:09 status installed libdb5.3:amd64 5.3.28+dfsg2-1
2023-04-14 23:27:09 configure libblkid1:amd64 2.38.1-4ubuntu1 <none>
2023-04-14 23:27:09 status unpacked libblkid1:amd64 2.38.1-4ubuntu1
2023-04-14 23:27:09 status half-configured libblkid1:amd64 2.38.1-4ubuntu1
